x,y
4.04,6.42
6.9,12.18
12.98,5.18
11.14,7.04
2.98,3.26
9.74,10.16
7.68,12.83
12.91,5.96
6.02,10.96
4.32,6.38
2.86,5.46
10.85,6.0
7.87,9.51
2.28,4.64
12.25,5.0
9.32,11.88
6.29,10.12
11.64,6.56
5.56,4.52
8.03,12.52
5.82,12.3
9.02,11.4
6.02,11.38
8.16,9.24
8.94,10.09
13.12,4.16
8.72,11.6
10.39,6.36
10.61,5.96
10.72,6.58
2.7,5.17
5.9,11.7
3.46,4.37
5.22,5.38
5.64,5.62
8.36,9.78
10.96,5.67
6.78,10.54
4.68,2.98
11.9,4.94
7.1,9.26
11.37,4.41
8.34,11.82
6.9,8.78
4.49,7.72
7.44,10.37
4.28,5.46
6.85,10.8
8.02,9.7
6.14,4.66
9.26,9.43
