x,y
6.98,8.44
6.82,12.44
9.49,5.55
9.68,5.3
10.78,4.94
4.64,5.37
5.62,4.84
6.94,8.18
6.96,13.44
11.24,4.99
5.8,6.92
10.76,4.64
6.88,8.53
2.16,7.64
4.22,13.22
3.8,11.96
4.26,11.57
10.55,10.48
7.72,9.1
7.56,7.68
12.0,10.04
4.54,5.08
10.92,11.27
8.2,7.86
9.99,11.1
3.73,12.38
7.9,11.5
7.2,7.32
8.14,8.04
5.04,4.27
8.15,7.59
1.51,8.68
6.35,13.09
4.03,11.36
7.26,12.42
7.45,12.12
7.08,13.25
11.72,9.96
3.37,12.63
10.3,6.46
4.42,13.08
8.44,12.91
4.54,5.66
9.58,5.23
10.18,3.83
3.34,13.8
10.64,4.39
11.01,3.54
5.32,5.86
10.22,5.7
10.6,11.7
9.9,10.44
10.92,5.32
3.7,13.92
5.6,4.34
6.68,7.22
8.22,7.56
6.88,7.74
3.58,12.78
4.08,5.6
4.43,11.78
10.4,4.82
3.94,11.96
2.96,12.94
2.43,8.14
4.93,5.66
3.89,11.04
4.76,6.3
6.7,13.25
9.43,4.94
6.51,8.13
3.66,12.48
11.04,6.6
6.76,8.93
4.56,5.28
9.93,10.46
11.07,5.64
6.43,7.77
11.12,6.62
10.62,5.52
7.0,8.12
7.45,7.15
11.02,3.22
6.73,8.22
10.86,4.38
4.54,5.9
9.96,4.94
8.7,7.87
10.66,10.46
2.17,8.98
3.55,13.49
7.16,11.54
11.04,5.12
5.74,4.14
11.16,6.5
6.76,8.22
8.6,7.49
6.83,8.52
11.22,10.72
10.14,4.74
11.46,3.32
10.25,4.52
11.22,5.16
10.97,5.72
10.86,10.06
6.36,11.82
4.54,12.52
4.6,12.48
5.34,5.11
2.81,7.28
11.31,6.08
10.94,5.88
4.38,12.46
1.98,10.31
2.73,7.71
8.06,13.7
11.02,3.4
10.75,4.11
4.7,11.38
9.86,5.63
7.1,7.92
10.98,6.84
3.16,12.06
2.38,7.72
10.46,4.71
9.83,5.28
8.18,11.05
11.88,9.62
7.16,8.67
1.83,8.46
9.38,6.66
4.07,13.79
4.94,4.45
4.06,4.58
9.68,5.74
11.39,8.81
11.76,5.26
4.46,5.4
6.37,7.74
9.02,8.44
8.38,8.26
7.4,13.65
7.58,9.01
7.64,6.42
10.36,4.68
10.41,6.88
8.36,8.86
10.52,5.96
4.54,12.88
11.1,11.26
5.8,4.56
3.64,11.52
8.2,7.91
11.18,10.36
11.28,4.97
10.16,6.12
8.26,11.52
11.28,6.42
11.46,5.24
6.78,7.52
1.63,8.56
1.92,9.93
6.71,7.52
2.1,7.87
3.2,12.6
7.84,13.76
7.62,6.88
7.28,12.66
10.54,6.06
12.34,11.26
10.95,9.28
3.84,12.64
3.87,10.99
5.08,5.48
10.78,4.53
4.7,11.38
5.22,5.01
11.38,4.93
10.06,4.86
2.17,9.07
4.7,5.64
8.07,7.96
4.39,14.09
9.78,7.2
1.77,7.19
10.5,10.32
5.36,3.74
4.31,4.3
7.86,7.26
6.4,7.87
7.22,7.41
10.46,10.96
10.32,5.16
4.97,3.32
5.22,6.52
10.84,4.3
11.44,3.98
10.85,4.76
10.6,11.1
10.98,9.82
3.76,13.16
10.43,4.34
9.84,6.5
4.84,11.46
7.92,8.0
10.9,6.4
11.52,5.93
6.76,8.06
4.82,6.81
4.7,12.59
2.48,10.16
7.46,6.38
6.84,11.82
11.62,9.82
5.07,6.33
10.83,4.58
10.72,5.14
11.72,8.76
6.4,7.46
9.98,6.82
2.79,8.82
2.5,7.94
3.31,12.56
8.3,8.16
11.24,6.52
8.02,14.1
7.38,5.09
9.88,4.84
7.32,11.82
1.66,9.53
7.62,12.98
5.94,6.5
11.06,10.75
1.4,8.49
10.42,10.16
9.26,6.22
2.92,7.38
7.54,7.54
4.4,13.15
8.64,13.6
9.87,5.14
5.95,5.32
5.1,4.0
9.7,5.88
9.65,5.07
2.12,9.2
7.62,12.98
1.92,10.38
2.77,9.22
3.32,12.86
7.64,12.54
10.54,10.47
5.32,3.83
5.72,5.95
7.5,8.57
4.38,11.32
4.4,13.32
4.78,5.55
3.84,11.63
3.44,12.79
2.28,8.78
5.76,4.1
10.64,10.22
11.36,11.03
3.78,11.96
4.3,13.14
12.4,11.13
5.4,6.1
11.16,6.1
4.57,11.87
10.92,11.28
6.52,5.26
3.96,13.29
2.19,9.44
5.74,4.99
4.8,6.58
7.66,13.64
4.62,4.57
10.76,11.68
4.68,12.37
4.12,11.66
11.8,10.88
9.6,6.52
6.76,13.37
5.86,6.6
10.82,9.22
10.88,5.07
1.58,9.02
7.06,6.86
1.84,8.84
8.26,12.33
8.46,7.98
5.04,5.67
4.67,12.78
2.2,8.79
6.16,4.97
12.14,8.96
6.86,8.14
10.46,10.48
10.78,3.96
7.41,7.28
3.12,13.59
6.97,9.56
8.52,8.12
2.44,7.82
11.78,9.65
2.5,7.44
2.28,7.68
7.46,12.89
6.54,6.92
5.07,6.15
10.72,5.82
9.82,9.87
9.96,5.38
10.2,6.36
10.26,4.63
10.04,6.65
4.1,4.16
10.33,4.49
4.73,4.17
4.52,6.7
8.54,12.54
4.81,6.81
4.92,13.04
8.26,12.55
7.85,6.31
7.16,8.07
6.98,7.76
10.76,11.3
8.43,11.98
10.56,4.3
6.66,7.86
1.41,8.32
2.26,9.52
8.6,12.71
12.37,9.51
2.14,8.7
7.6,13.36
7.43,7.1
9.55,6.52
10.42,10.2
7.94,8.12
11.04,11.28
11.48,5.2
8.52,13.43
7.32,12.68
6.45,7.71
6.23,8.02
4.37,5.53
10.92,4.54
5.37,3.4
10.18,4.89
8.88,11.83
2.15,8.63
11.54,9.75
4.19,11.76
9.67,6.36
5.64,4.88
4.68,12.86
1.8,8.09
7.17,8.14
8.26,7.06
10.69,4.75
7.32,13.48
7.18,12.82
3.97,11.23
10.82,10.94
6.77,8.32
7.04,8.86
12.24,9.71
3.52,10.85
8.44,8.12
3.83,10.8
1.66,8.56
5.26,5.89
6.08,4.46
12.17,10.12
6.82,12.12
10.6,4.07
8.2,7.92
8.52,12.86
11.1,6.04
10.78,6.46
4.08,11.84
7.24,13.89
5.43,5.72
9.26,6.76
10.38,4.9
3.58,13.48
7.14,8.28
10.84,6.04
11.54,5.28
